"","Colony","Distance","Mass","Headwidth","Headwidth..mm.","Size.class"
"1",1,1,109,45,1.895,">43"
"2",1,1,94,42,1.768,"40-43"
"3",1,1,72,41,1.726,"40-43"
"4",1,1,94,43,1.811,"40-43"
"5",1,1,111,42,1.768,"40-43"
"6",1,1,107,46,1.937,">43"
"7",1,1,53,33,1.389,"30-34"
"8",1,1,85,44,1.853,">43"
"9",1,1,109,46,1.937,">43"
"10",1,1,93,39,1.642,"35-39"
"11",1,1,110,44,1.853,">43"
"12",1,4,91,42,1.768,"40-43"
"13",1,4,44,28,1.179,"<30"
"14",1,4,107,46,1.937,">43"
"15",1,4,86,40,1.684,"40-43"
"16",1,4,156,43,1.811,"40-43"
"17",1,4,95,42,1.768,"40-43"
"18",1,4,72,37,1.558,"35-39"
"19",1,4,154,43,1.811,"40-43"
"20",1,4,125,47,1.979,">43"
"21",1,4,83,39,1.642,"35-39"
"22",1,4,105,42,1.768,"40-43"
"23",1,4,49,33,1.389,"30-34"
"24",1,4,104,43,1.811,"40-43"
"25",1,4,84,43,1.811,"40-43"
"26",1,4,80,38,1.6,"35-39"
"27",1,4,96,43,1.811,"40-43"
"28",1,4,107,44,1.853,">43"
"29",1,4,110,46,1.937,">43"
"30",1,7,107,41,1.726,"40-43"
"31",1,7,96,43,1.811,"40-43"
"32",1,7,96,42,1.768,"40-43"
"33",1,7,131,45,1.895,">43"
"34",1,7,126,46,1.937,">43"
"35",1,7,108,43,1.811,"40-43"
"36",1,7,92,42,1.768,"40-43"
"37",1,7,104,42,1.768,"40-43"
"38",1,7,120,45,1.895,">43"
"39",1,7,97,41,1.726,"40-43"
"40",1,7,92,40,1.684,"40-43"
"41",1,10,72,33,1.389,"30-34"
"42",1,10,75,38,1.6,"35-39"
"43",1,10,97,43,1.811,"40-43"
"44",1,10,88,43,1.811,"40-43"
"45",1,10,101,43,1.811,"40-43"
"46",1,10,75,37,1.558,"35-39"
"47",1,10,99,43,1.811,"40-43"
"48",1,10,114,46,1.937,">43"
"49",1,10,77,42,1.768,"40-43"
"50",1,10,90,39,1.642,"35-39"
"51",2,1,148,45,1.895,">43"
"52",2,1,110,41,1.726,"40-43"
"53",2,1,136,45,1.895,">43"
"54",2,1,101,42,1.768,"40-43"
"55",2,1,67,36,1.516,"35-39"
"56",2,1,62,35,1.474,"35-39"
"57",2,1,121,45,1.895,">43"
"58",2,1,82,37,1.558,"35-39"
"59",2,1,119,46,1.937,">43"
"60",2,1,47,32,1.347,"30-34"
"61",2,1,60,35,1.474,"35-39"
"62",2,4,133,46,1.937,">43"
"63",2,4,73,44,1.853,">43"
"64",2,4,73,39,1.642,"35-39"
"65",2,4,63,40,1.684,"40-43"
"66",2,4,129,46,1.937,">43"
"67",2,4,90,40,1.684,"40-43"
"68",2,4,70,39,1.642,"35-39"
"69",2,4,99,42,1.768,"40-43"
"70",2,4,133,47,1.979,">43"
"71",2,4,140,47,1.979,">43"
"72",2,4,137,46,1.937,">43"
"73",2,7,79,39,1.642,"35-39"
"74",2,7,104,42,1.768,"40-43"
"75",2,7,67,35,1.474,"35-39"
"76",2,7,97,37,1.558,"35-39"
"77",2,7,152,46,1.937,">43"
"78",2,7,60,34,1.432,"30-34"
"79",2,7,128,46,1.937,">43"
"80",2,7,44,31,1.305,"30-34"
"81",2,7,117,45,1.895,">43"
"82",2,7,78,39,1.642,"35-39"
"83",2,7,99,45,1.895,">43"
"84",2,10,120,42,1.768,"40-43"
"85",2,10,98,43,1.811,"40-43"
"86",2,10,55,43,1.811,"40-43"
"87",2,10,118,43,1.811,"40-43"
"88",2,10,102,43,1.811,"40-43"
"89",2,10,97,45,1.895,">43"
"90",2,10,81,42,1.768,"40-43"
"91",2,10,143,47,1.979,">43"
"92",2,10,83,43,1.811,"40-43"
"93",2,10,141,45,1.895,">43"
"94",2,10,154,48,2.021,">43"
"95",1,0,102,39,1.642,"35-39"
"96",1,0,115,43,1.811,"40-43"
"97",1,0,68,34,1.432,"30-34"
"98",1,0,141,42,1.768,"40-43"
"99",1,0,55,32,1.347,"30-34"
"100",1,0,100,39,1.642,"35-39"
"101",2,0,116,43,1.811,"40-43"
"102",2,0,146,46,1.937,">43"
"103",2,0,97,42,1.768,"40-43"
"104",2,0,127,45,1.895,">43"
"105",2,0,79,35,1.474,"35-39"
"106",2,0,114,44,1.853,">43"
